Case #,Year,Date,Country,State,Description,Deaths,Tesla driver,Tesla occupant,Other vehicle,Cyclists/Peds,TSLA+cycl/peds,Model,Autopilot claimed,Verified Tesla Autopilot Deaths,Verified Tesla Autopilot Deaths + All Deaths Reported to NHTSA SGO,Source,Note
194,2023,01/17/2023,China,-,Tesla crash,1,0,0,1,0,0,Model S,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
195,2013,10/21/2013,USA,NV,Tesla crash,1,0,0,0,0,0,Model X,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
196,2023,05/01/2023,Norway,-,Tesla crash,2,0,1,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
197,2021,06/09/2021,USA,OR,Tesla crash,2,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
198,2019,11/25/2019,USA,AZ,Tesla crash,3,1,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
199,2013,10/28/2013,USA,GA,Tesla crash,1,0,1,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
200,2014,11/09/2014,Mexico,-,Tesla crash,2,1,0,0,0,0,Model 3,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
201,2021,02/10/2021,Netherlands,-,Tesla crash,1,1,0,0,1,1,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
202,2015,09/24/2015,Netherlands,-,Tesla crash,1,0,0,0,0,0,Model X,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
203,2018,05/26/2018,USA,TX,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
204,2020,04/23/2020,China,-,Tesla crash,1,0,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
205,2014,05/04/2014,USA,WA,Tesla crash,1,0,0,0,0,0,Model S,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
206,2015,07/01/2015,USA,FL,Tesla crash,1,0,0,1,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
207,2017,05/10/2017,USA,GA,Tesla crash,1,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
208,2017,12/21/2017,China,-,Tesla crash,1,1,0,1,0,0,Model X,-,0,1,https://example.com/source,Synthetic sample record for demo purposes
209,2020,06/15/2020,Norway,-,Tesla crash,1,1,0,1,1,1,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
210,2018,07/11/2018,USA,NV,Tesla crash,2,0,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
211,2017,09/06/2017,China,-,Tesla crash,3,0,0,1,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
212,2023,11/16/2023,Germany,-,Tesla crash,1,0,0,1,0,0,Model X,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
213,2015,09/17/2015,USA,NY,Tesla crash,1,1,0,0,0,0,Model 3,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
214,2019,03/21/2019,Germany,-,Tesla crash,1,0,0,0,0,0,Model Y,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
215,2022,09/18/2022,USA,PA,Tesla crash,3,0,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
216,2022,05/14/2022,Netherlands,-,Tesla crash,1,1,0,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
217,2014,08/24/2014,USA,NV,Tesla crash,2,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
218,2020,03/18/2020,USA,TX,Tesla crash,1,0,1,0,0,0,Model 3,Y,0,0,https://example.com/source,Synthetic sample record for demo purposes
219,2015,12/20/2015,USA,OH,Tesla crash,1,1,0,0,0,0,Model S,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
220,2016,02/26/2016,Canada,-,Tesla crash,1,1,0,0,0,0,Model X,-,0,0,https://example.com/source,Synthetic sample record for demo purposes
